headlines,date,type
#happynewyear2020 Avengers Endgame. Started at 9:29:30 to get this to work. https://t.co/jt1D0hnxiV<e2><80><94> Ravi Ramgopal (@ravi_ramgopal) ,2020-01-01,topTweets
Times Square from every angle. HAPPY NEW YEAR! <f0><9f><8e><89> #Hello2020 #RockinEve https://t.co/daMSp05eSa<e2><80><94> New Year<e2><80><99>s Rockin<e2><80><99> Eve (@NYRE) ,2020-01-01,topTweets
"Happy New Year!If you<e2><80><99>re reading this I pray that God blesses you with everything ya heart desires this year. Believe in yourself, be consistent, & stay focused.<e2><80><94> DaBaby (@DaBabyDaBaby) ",2020-01-01,topTweets
82nd Airborne Division preparing for deployment amid unrest in Baghdad,2020-01-01,topNewsHeadlines
"65,000 college students ring in New Year worshipping Jesus",2020-01-01,topNewsHeadlines
Michelle Obama beats Melania Trump as 'most admired woman' of 2019,2020-01-01,topNewsHeadlines
Militia Leader Who Led Raid on U.S. Embassy a White House Visitor,2020-01-01,topNewsHeadlines
Bobbi Kristina Brown's Ex-Boyfriend Nick Gordon Dies from Overdose,2020-01-01,topNewsHeadlines
See Meghan Markle and Prince Harry's New Archie Instagram,2020-01-01,topNewsHeadlines
Sanders says he'll enact national drinking water standards,2020-01-01,topNewsHeadlines
Greyhound is giving free tickets to runaways who want to return home,2020-01-01,topNewsHeadlines
Stocks post best annual gain in 6 years with the S&P 500 surging more than 28%,2020-01-01,topNewsHeadlines
Miami Leaders Give Annual Warning Not to Shoot Guns in the Air on New Year's Eve,2020-01-01,topNewsHeadlines
"""Make Women Great Again"" Convention Teaches How To Be ""Ideal Women""",2020-01-01,topNewsHeadlines
#AEWDynamite,2020-01-01,topTrendingOnSm
"#happynewyear2020 Avengers Endgame. Started at 9:29:30 to get this to work. https://t.co/jt1D0hnxiV<e2><80><94> Ravi Ramgopal (@ravi_ramgopal) January 1, 2020Soleimani was an enemy of the United States. That<e2><80><99>s not a question.The question is this - as reports suggest, did America just assassinate, without any congressional authorization, the second most powerful person in Iran, knowingly setting off a potential massive regional war?<e2><80><94> Chris Murphy (@ChrisMurphyCT) January 3, 2020""the best way to take care of the future is to take care of the present moment"" - t.n.h <e2><9c><a8> https://t.co/0nHUBD1JDO<e2><80><94> Chilombo (@JheneAiko) ",2020-01-02,topTweets
"Server receives $2,020 tip from Donnie Wahlberg at St. Charles IHOP",2020-01-02,topNewsHeadlines
"Trey Gowdy Shreds Democrats<e2><80><99> Impeachment Case, Gives Update On Joining Trump Legal Team After Playing Golf With Trump",2020-01-02,topNewsHeadlines
"BREAKING: U.S. Kills Two Top Iranian Military Leaders, Bigger Than Bin Laden, Al-Baghdadi, Reports Say",2020-01-02,topNewsHeadlines
Bobbi Kristina Brown's Ex-Boyfriend Nick Gordon Dies from Overdose,2020-01-02,topNewsHeadlines
"Baghdad rocket attack kills Iranian military leaders including Gen. Qassim Soleimani, reports say",2020-01-02,topNewsHeadlines
Castro drops out of 2020 presidential race,2020-01-02,topNewsHeadlines
"Boy used pocket money to feed stray dogs, opened a no-kill animal shelter at age 9",2020-01-02,topNewsHeadlines
Juli<c3><a1>n Castro Ends Presidential Campaign,2020-01-02,topNewsHeadlines
Grandmother found shot to death by daughter and grandson,2020-01-02,topNewsHeadlines
Victim faces grim prognosis after Chanukah machete attack,2020-01-02,topNewsHeadlines
