symbol,date,open,high,low,close,volume,adjusted,ticker,djia
aal,2020-01-02,28.98,29.299999,28.65,29.09,6451100,28.982893,aal,0
aal,2020-01-03,28.27,28.290001,27.34,27.65,14008900,27.548195,aal,0
aal,2020-01-06,27.190001,27.49,27.08,27.32,6105800,27.21941,aal,0
aal,2020-01-07,27.559999,27.68,27.059999,27.219999,6105900,27.119778,aal,0
aal,2020-01-08,27.1,28.09,27.07,27.84,10496800,27.737495,aal,0
aal,2020-01-09,28.09,28.23,27.709999,27.950001,6898900,27.847092,aal,0
aal,2020-01-10,27.959999,27.99,27.25,27.32,8106800,27.21941,aal,0
aal,2020-01-13,27.32,27.530001,27.16,27.389999,5874400,27.289152,aal,0
aal,2020-01-14,27.91,28.4,27.35,27.530001,8888900,27.428638,aal,0
aal,2020-01-15,27.450001,28.059999,27.32,27.58,5689900,27.478453,aal,0
aal,2020-01-16,27.790001,28.26,27.76,28.23,6442800,28.12606,aal,0
aal,2020-01-17,28.299999,28.719999,28.059999,28.4,7379400,28.295433,aal,0
aal,2020-01-21,27.969999,27.99,27.049999,27.200001,16409400,27.099854,aal,0
aal,2020-01-22,27.51,27.91,27.299999,27.32,9852600,27.21941,aal,0
aal,2020-01-23,27.389999,28.99,26.040001,28.799999,25611100,28.69396,aal,0
aal,2020-01-24,28.85,28.860001,27.01,27.639999,18067800,27.538231,aal,0
aal,2020-01-27,26.57,26.6,25.370001,26.110001,21573800,26.013866,aal,0
aal,2020-01-28,26.360001,27.120001,26.26,26.9,11939200,26.800957,aal,0
aal,2020-01-29,26.879999,27.49,26.74,26.799999,9088700,26.701324,aal,0
aal,2020-01-30,26.299999,27.790001,26.26,27.719999,10685500,27.617937,aal,0
aal,2020-01-31,27.5,27.52,26.59,26.84,11027900,26.741179,aal,0
aal,2020-02-03,26.93,27.67,26.74,27.16,7631900,27.059999,aal,0
aal,2020-02-04,27.68,28.610001,27.549999,28.43,10832900,28.43,aal,0
aal,2020-02-05,28.959999,29.24,28.549999,29.1,8959700,29.1,aal,0
aal,2020-02-06,29.26,29.450001,28.139999,28.299999,8335800,28.299999,aal,0
aal,2020-02-07,28.059999,28.549999,27.780001,28.379999,6231800,28.379999,aal,0
aal,2020-02-10,28.190001,28.809999,27.98,28.790001,15134300,28.790001,aal,0
aal,2020-02-11,29.059999,29.940001,28.969999,29.84,8977700,29.84,aal,0
aal,2020-02-12,30,30.780001,29.99,30.469999,9315400,30.469999,aal,0
aal,2020-02-13,30.030001,30.4,29.73,30.09,9119400,30.09,aal,0
aal,2020-02-14,30.01,30.27,29.139999,29.200001,5524800,29.200001,aal,0
aal,2020-02-18,29.040001,29.35,28.49,28.629999,10485100,28.629999,aal,0
aal,2020-02-19,28.84,28.879999,28.309999,28.33,8400700,28.33,aal,0
aal,2020-02-20,28.24,28.9,28.200001,28.51,10093400,28.51,aal,0
aal,2020-02-21,28.120001,28.299999,27.17,27.82,11253600,27.82,aal,0
aal,2020-02-24,25.98,26.110001,25,25.450001,21713200,25.450001,aal,0
aal,2020-02-25,25.620001,25.75,23.049999,23.120001,22296900,23.120001,aal,0
aal,2020-02-26,23.57,23.75,22.110001,22.309999,19610300,22.309999,aal,0
aal,2020-02-27,20.85,22.48,19.77,20.6,31897300,20.6,aal,0
aal,2020-02-28,19.799999,20.35,18.77,19.049999,37166400,19.049999,aal,0
aal,2020-03-02,19.049999,19.059999,17.51,18.860001,38738000,18.860001,aal,0
aal,2020-03-03,19.66,19.790001,17.799999,17.85,35402500,17.85,aal,0
aal,2020-03-04,18.360001,18.549999,17.299999,18.530001,44362100,18.530001,aal,0
aal,2020-03-05,17.540001,17.65,15.98,16.040001,44656800,16.040001,aal,0
aal,2020-03-06,15.02,17.120001,14.8,15.97,54505000,15.97,aal,0
aal,2020-03-09,14.87,15.79,14.46,14.75,42558000,14.75,aal,0
aal,2020-03-10,15.82,17.67,14.61,17,56972700,17,aal,0
aal,2020-03-11,16.309999,16.49,15.52,16.26,43705800,16.26,aal,0
aal,2020-03-12,14.05,15.75,13.33,13.45,53968500,13.45,aal,0
aal,2020-03-13,15.3,15.6,13.12,14.31,58376100,14.31,aal,0
aal,2020-03-16,12.41,16.200001,12,15.92,84916800,15.92,aal,0
aal,2020-03-17,15.79,18.49,14.79,15.58,58055800,15.58,aal,0
aal,2020-03-18,14.24,14.28,10.17,11.65,78458800,11.65,aal,0
aal,2020-03-19,11.6,12.16,10.01,10.29,71584500,10.29,aal,0
aal,2020-03-20,10.65,12,10.3,10.38,62681800,10.38,aal,0
aal,2020-03-23,10.9,11.36,10.01,10.25,56427300,10.25,aal,0
aal,2020-03-24,11.96,14.81,11.54,13.92,101035700,13.92,aal,0
aal,2020-03-25,16.690001,16.99,14.31,15.39,93795100,15.39,aal,0
aal,2020-03-26,16.059999,17.24,15.16,15.66,77530600,15.66,aal,0
aal,2020-03-27,14.98,15.21,13.91,14.04,50783456,14.04,aal,0
aal,2020-03-30,13.2,13.22,11.81,12.25,50422400,12.25,aal,0
aal,2020-03-31,12.9,12.96,12.1,12.19,44851400,12.19,aal,0
aal,2020-04-01,11.45,11.48,10.5,10.69,56706800,10.69,aal,0
