date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
2020-04-14,AK,285,8063,NA,NA,32,NA,NA,NA,NA,98,5315a4f1841f006de941785d317d4bb3057063e2,9,32,8348,8348,8348,02,1,0,510,8,518
2020-04-14,AL,3876,29241,NA,NA,493,NA,210,NA,132,NA,fdef67fc2526eb4972bb573db30ce225d2ac391e,110,493,33117,33117,33117,01,11,36,3793,142,3935
2020-04-14,AR,1480,19651,NA,81,130,NA,43,29,39,427,907ec6f1eeb2bdbc47087e6f29f8dd66d4e03d99,30,130,21131,21131,21131,05,0,0,257,70,327
2020-04-14,AS,0,3,17,NA,NA,NA,NA,NA,NA,NA,185c50b581ff3a04f08affd4eb6d8739e5f920fa,NA,NA,20,3,3,60,0,0,0,0,0
2020-04-14,AZ,3806,40290,NA,580,NA,286,NA,216,NA,249,7afc2afc97a6d3d4ee3cc637067272a2584445f8,131,NA,44096,44096,44096,04,9,0,645,104,749
2020-04-14,CA,23338,178870,13200,5163,NA,1552,NA,NA,NA,NA,1f65c8b2d5328790f9cbedda2bfe2325921ed07a,758,NA,215408,202208,202208,06,71,0,10336,990,11326
2020-04-14,CO,7691,31051,NA,NA,1493,NA,NA,NA,NA,NA,7f51669ab57dbb2046285fb145ba413cb35f258f,308,1493,38742,38742,38742,08,4,21,1201,7,1208
2020-04-14,CT,13989,31852,NA,1779,NA,NA,NA,NA,NA,NA,78f6969207143e30d7e31c57727060aa6dceb19d,671,NA,45841,45841,45841,09,69,0,924,608,1532
2020-04-14,DC,2058,9460,NA,295,NA,95,NA,31,NA,518,dc7f96bf94ab41fd6342449f5b01cbfdcb6afdbe,67,NA,11518,11518,11518,11,14,0,481,103,584
2020-04-14,DE,1761,10543,NA,204,NA,NA,NA,NA,NA,277,0b4aa321c592c1b78fe25c7303b5c9ff0bd9eaf2,41,NA,12304,12304,12304,10,6,0,348,136,484
2020-04-14,FL,21367,181813,1275,NA,3060,NA,NA,NA,NA,NA,b577561bc8ed7135d1d5f86319c7618eb4d7e8d7,537,3060,204455,203180,203180,12,54,227,6207,766,6973
2020-04-14,GA,14223,47572,NA,NA,2769,NA,NA,NA,NA,NA,e98314a9ad82070e5aab98fae3a637052d835ecd,501,2769,61795,61795,61795,13,37,180,3866,908,4774
2020-04-14,GU,135,811,NA,13,NA,2,NA,2,NA,66,43a8d7bd2d2ca1d17d7c5b60af65bfeafadabcb1,5,NA,946,946,946,66,0,0,41,0,41
2020-04-14,HI,504,18916,NA,NA,44,NA,NA,NA,NA,315,e01e426d6c9851f6dff5ffdfb923dd0b2ccfa9e6,9,44,19420,19420,19420,15,0,0,571,5,576
2020-04-14,IA,1899,16986,NA,163,NA,73,NA,41,NA,741,ebcf272676e4b8542c2534292aab391679f1a075,49,NA,18885,18885,18885,19,6,0,0,189,189
2020-04-14,ID,1453,13661,NA,NA,135,NA,38,NA,NA,NA,777ef89768a10db7c9c8a2399853b4b909947c6e,33,135,15114,15114,15114,16,6,3,206,27,233
2020-04-14,IL,23247,87369,NA,4283,NA,1189,NA,796,NA,NA,193239d8b51a59855b00a55edee15ee316951607,868,NA,110616,110616,110616,17,74,0,3626,1222,4848
2020-04-14,IN,8527,37490,NA,NA,NA,721,NA,435,NA,NA,b69228298ef925c76acd39e5442c5bcc0d3f60d0,388,NA,46017,46017,46017,18,38,0,1187,291,1478
2020-04-14,KS,1426,12721,NA,NA,327,NA,NA,NA,NA,NA,bda44e265aa550daef73afb7ebc3569012d9df95,69,327,14147,14147,14147,20,7,18,233,50,283
2020-04-14,KY,2048,24635,NA,299,673,136,259,NA,NA,629,2b7342b70a38c752c22a13316b8d1e0a23e4ad2a,104,673,26683,26683,26683,21,7,6,732,85,817
2020-04-14,LA,21518,96904,NA,1977,NA,NA,NA,436,NA,NA,9b6c1ac221a66ad81a99cc1b339c9508902561d8,1013,NA,118422,118422,118422,22,129,0,9829,502,10331
2020-04-14,MA,28163,98388,NA,NA,2340,NA,NA,NA,NA,NA,0dee1cca420ee95346e9418b3d48b140c8666b91,957,2340,126551,126551,126551,25,113,0,3206,1296,4502
2020-04-14,MD,9472,44261,NA,NA,2122,NA,NA,NA,NA,607,2e95981d2f117826eb9aa5b28b4816a376ce9284,302,2122,53733,53733,53733,24,40,147,1446,536,1982
2020-04-14,ME,734,11608,NA,58,124,21,NA,9,NA,292,07611c393a61a586a42b1766b55713cde98bf804,20,124,12342,12342,12342,23,1,0,0,36,36
2020-04-14,MI,27001,59225,NA,3910,NA,1497,NA,1235,NA,452,2f9554ed2cfa321ae23a7feb3e0e69139276697b,1768,NA,86226,86226,86226,26,166,0,2216,1366,3582
2020-04-14,MN,1695,37546,NA,177,405,75,155,NA,NA,909,582ed8cc017fc1db3291ebb7cb62aa9ba87408fe,79,405,39241,39241,39241,27,9,44,769,45,814
2020-04-14,MO,4686,43292,NA,1041,NA,NA,NA,NA,NA,NA,4f05ef3a06d242a9732b6cffbf6a78bcf81f4925,133,NA,47978,47978,47978,29,19,0,2252,298,2550
2020-04-14,MP,13,27,7,NA,NA,NA,NA,NA,NA,NA,a825a7fc1d8625af08be8708a47baf7916020de0,2,NA,47,40,40,69,0,0,0,2,2
2020-04-14,MS,3087,34791,NA,NA,596,154,NA,99,NA,NA,956818cd92a3e7624c9d5b71ccc385f74c294bea,111,596,37878,37878,37878,28,13,47,6749,145,6894
